"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-12,1960-01-01 16:18:00,1,1,3,180904011,69,2,0,3,2,4,3,3,3,4,3,3,4,4,3,-1,-1
2019-10-12,1960-01-01 16:20:00,4,3,3,453900222,60,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 16:29:00,3,3,3,666704316,62,1,1,2,4,4,2,4,3,4,1,3,4,4,1,1,1
2019-10-12,1960-01-01 16:30:00,7,2,3,656709011,65,2,0,1,8,3,3,5,3,3,3,2,3,3,3,3,3
2019-10-12,1960-01-01 16:34:00,7,2,3,656709012,64,2,1,1,6,4,3,3,3,4,3,3,4,4,4,2,2
2019-10-12,1960-01-01 16:36:00,3,3,3,584301022,69,1,0,1,4,3,3,3,3,3,3,3,3,4,3,3,3
2019-10-12,1960-01-01 16:38:00,3,3,3,584301021,60,2,0,1,8,-1,1,1,1,1,-1,1,1,5,-1,-1,1
2019-10-12,1960-01-01 16:59:00,3,3,3,666704319,75,2,0,2,1,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 17:02:00,8,2,3,453902302,57,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4
2019-10-12,1960-01-01 17:03:00,1,1,3,30205301,61,2,0,3,8,2,1,1,1,3,1,1,2,5,1,3,1
2019-10-12,1960-01-01 17:06:00,1,1,3,80505507,50,2,1,2,4,3,3,3,1,3,4,3,3,3,4,3,3
2019-10-12,1960-01-01 17:06:00,7,2,3,565600304,37,2,0,1,4,3,1,3,4,3,3,3,3,4,3,3,4
2019-10-12,1960-01-01 17:09:00,7,2,3,555400412,70,2,0,2,2,4,3,4,3,3,1,2,2,5,3,4,4
2019-10-12,1960-01-01 17:10:00,2,3,3,261502105,28,2,0,-3,-3,1,5,4,5,2,-1,1,1,1,5,4,3
2019-10-12,1960-01-01 17:13:00,1,1,3,10100510,64,2,0,3,4,2,2,2,1,2,2,2,2,5,3,1,1
